"","group","treated","treated_male","treated_upvotes","id","male","age","job_raw","region_raw","poli_conserv","poli_conserv_fill","party_raw","party_liberal","party_conserv","metoo_attitude","comm_attitude","comm_hate","comm_liking","comm_user_attitude","comm_report","reply_attitude","reply_upvotes","reply_maleportion","reply_socialnorm","reply_liking","reply_user_attitude","reply_user_realname","reply_user_male","reply_user_female","reply_user_dontknow","reply_report","youtube_attitude","youtube_selfcorrection","youtube_regulation","law_individual","law_company","education","income"
"1","1",0,0,0,"e6b6cef",1,35,"사무/기술직","서울",3,3,NA,0,0,3,0,-0.5,0,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,0.5,0.5,6,4
"2","1",0,0,0,"9c8f8e9",1,42,"사무/기술직","인천",NA,3,1,1,0,2,0.5,0,0,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,0.5,0.5,0.5,4,5
"3","1",0,0,0,"4dcba6e",0,27,"무직","인천",3,3,NA,0,0,3,0,0.5,0,-0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,4
"4","1",0,0,0,"2ceef44",0,43,"전업주부","서울",3,3,NA,0,0,3,-0.5,-0.5,-0.5,-1,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,0.5,0.5,4,4
"5","1",0,0,0,"f4dd57d",1,44,"경영/관리직","대전",2,2,NA,0,0,4,0,0.5,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0.5,6,4
"6","1",0,0,0,"3bbf86a",1,24,"대학생","인천",3,3,NA,0,0,1,1,-0.5,0,0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-1,0.5,1,1,5,3
"7","1",0,0,0,"dd1e48c",0,23,"대학생","경기",4,4,NA,0,0,5,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.5,0.5,0.5,0.5,6,4
"8","1",0,0,0,"6270c02",1,32,"기능/작업직","충북",3,3,1,1,0,1,-0.5,0.5,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,-0.5,-0.5,-0.5,6,3
"9","1",0,0,0,"f06a497",1,36,"대학생","광주",3,3,1,1,0,3,-0.5,0.5,0,-0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,0.5,0.5,0.5,6,3
"10","1",0,0,0,"3a44f72",1,47,"판매/영업 서비스직","서울",4,4,2,0,1,4,-1,0.5,-1,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,6,10
"11","1",0,0,0,"25798af",1,30,"자유/전문직","서울",4,4,2,0,1,3,0,-0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.5,0.5,6,7
"12","1",0,0,0,"7b6a80d",1,38,"자유/전문직","인천",2,2,NA,0,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,8,5
"13","1",0,0,0,"37a55c0",0,36,"자유/전문직","울산",3,3,NA,0,0,5,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-1,1,1,1,6,5
"14","1",0,0,0,"0e2f214",0,20,"대학생","경남",4,4,2,0,1,4,-1,0.5,-1,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,-0.5,-0.5,-0.5,5,11
"15","1",0,0,0,"f7cad9c",1,42,"사무/기술직","충북",2,2,1,1,0,4,0,0.5,-0.5,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.5,1,0.5,1,6,5
"16","1",0,0,0,"e55561a",1,44,"사무/기술직","경기",2,2,3,1,0,2,0.5,0,0,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.5,0,0,6,7
"17","1",0,0,0,"92d33cb",0,38,"자유/전문직","서울",4,4,1,1,0,3,-0.5,0.5,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,0.5,0.5,6,6
"18","1",0,0,0,"8163c58",1,28,"자유/전문직","서울",3,3,5,1,0,2,0.5,-0.5,-0.5,-0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,0.5,-1,6,5
"19","1",0,0,0,"a049241",1,41,"사무/기술직","서울",1,1,1,1,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,1,0.5,6,4
"20","1",0,0,0,"bd12668",0,50,"사무/기술직","경기",2,2,2,0,1,4,0,0,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,0.5,0.5,2,10
"21","1",0,0,0,"6c6d0fe",1,50,"기능/작업직","인천",2,2,1,1,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,4
"22","1",0,0,0,"03bb3b6",1,24,"판매/영업 서비스직","서울",3,3,NA,0,0,3,0,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.5,0,0,6,7
"23","1",0,0,0,"069273a",0,37,"전업주부","충북",3,3,3,1,0,5,0,0,0,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,-0.5,-0.5,2,4
"24","1",0,0,0,"f3bc0f1",0,28,"사무/기술직","제주",3,3,1,1,0,3,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.5,0.5,0.5,0.5,6,3
"25","1",0,0,0,"81f2dbd",1,40,"무직","경기",3,3,NA,0,0,4,0.5,-0.5,-1,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,1,1,6,6
"26","1",0,0,0,"712a521",1,51,"경영/관리직","경기",3,3,1,1,0,5,-0.5,0.5,-1,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,-0.5,0.5,6,8
"27","1",0,0,0,"63e8e7d",1,41,"사무/기술직","서울",2,2,NA,0,0,3,0,0,-0.5,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,8,4
"28","1",0,0,0,"6a08827",0,57,"자유/전문직","대구",4,4,NA,0,0,4,-1,0.5,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0.5,0.5,4,6
"29","1",0,0,0,"917ead1",0,40,"기타","경남",NA,3,NA,0,0,4,-1,0.5,-1,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,1,0.5,1,4,2
"30","1",0,0,0,"2f06402",1,38,"사무/기술직","서울",5,5,2,0,1,1,-0.5,0.5,-1,-0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,0.5,0.5,6,9
"31","1",0,0,0,"1638ea4",0,24,"대학생","경기",2,2,1,1,0,4,-1,0.5,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0.5,0.5,8,8
"32","1",0,0,0,"f7abf16",1,22,"대학생","제주",NA,3,NA,0,0,3,-0.5,1,-1,-0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,-0.5,0,5,6
"33","1",0,0,0,"e888530",0,40,"사무/기술직","부산",3,3,NA,0,0,4,0,0.5,-0.5,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.5,0,0.5,0.5,6,7
"34","1",0,0,0,"8f2a23d",0,21,"사무/기술직","경기",3,3,NA,0,0,3,-0.5,0.5,-0.5,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0,0,2,5
"35","1",0,0,0,"11b597b",1,35,"사무/기술직","경기",2,2,1,1,0,3,0,0,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0.5,1,8,5
"36","1",0,0,0,"4cbc41e",1,29,"판매/영업 서비스직","경기",4,4,NA,0,0,2,0,-0.5,0.5,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,-0.5,-1,0.5,6,11
"37","1",0,0,0,"06453b5",0,48,"전업주부","경기",3,3,NA,0,0,4,0,0,-0.5,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,0.5,0.5,6,5
"38","1",0,0,0,"4fa742f",0,40,"전업주부","충북",2,2,1,1,0,4,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,1,1,6,7
"39","1",0,0,0,"67ed28b",0,20,"대학생","강원",2,2,1,1,0,4,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,0.5,1,1,5,4
"40","1",0,0,0,"eaf0950",1,29,"사무/기술직","대구",4,4,2,0,1,4,0,0,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,0.5,0.5,8,3
"41","1",0,0,0,"45bdb4f",1,35,"사무/기술직","울산",3,3,NA,0,0,3,-1,0.5,-1,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,0.5,1,4,6
"42","1",0,0,0,"3cd150e",0,44,"사무/기술직","경기",2,2,NA,0,0,3,-0.5,0.5,-0.5,-1,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.5,-0.5,2,3
"43","1",0,0,0,"90d3453",1,59,"경영/관리직","서울",4,4,2,0,1,2,-0.5,0.5,-1,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0,-0.5,0,6,8
"44","1",0,0,0,"97a7e2e",1,34,"자유/전문직","경기",5,5,2,0,1,4,-1,0.5,-1,-0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,1,1,6,4
"45","1",0,0,0,"702c83d",0,30,"사무/기술직","서울",3,3,NA,0,0,4,-0.5,0,-1,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0,0.5,0.5,6,8
"46","1",0,0,0,"e6aba84",0,28,"무직","강원",3,3,NA,0,0,4,-1,1,-1,-1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,0.5,0.5,4,1
"47","1",0,0,0,"bf4ef01",1,32,"사무/기술직","서울",3,3,1,1,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0,0,0.5,0,8,4
"48","1",0,0,0,"5e37038",1,26,"자유/전문직","서울",2,2,1,1,0,4,-0.5,0.5,-1,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,-0.5,0.5,0.5,6,5
"49","1",0,0,0,"3981abe",0,34,"전업주부","경남",3,3,1,1,0,4,-0.5,1,-1,-1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0,0,4,6
"50","1",0,0,0,"c3e867c",1,42,"사무/기술직","서울",4,4,NA,0,0,3,0.5,0,-0.5,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,-0.5,0,0.5,6,10
"51","1",0,0,0,"a5d6299",0,31,"전업주부","인천",2,2,1,1,0,4,0,0.5,-1,-0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,1,0.5,6,3
"52","1",0,0,0,"f9deba8",0,23,"무직","전남",NA,3,1,1,0,3,-1,1,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,1,1,6,5
"53","1",0,0,0,"54f71f1",0,35,"사무/기술직","충북",NA,3,1,1,0,3,-0.5,1,-1,-1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0.5,0.5,6,4
"54","1",0,0,0,"7c22bad",0,31,"무직","부산",3,3,1,1,0,3,-0.5,-0.5,0,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0,0,5,6
"55","1",0,0,0,"89d18b2",0,34,"자유/전문직","경기",2,2,NA,0,0,3,-1,0.5,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0.5,0.5,4,5
"56","1",0,0,0,"085df5d",1,48,"사무/기술직","경남",2,2,1,1,0,3,0,0.5,-0.5,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.5,0.5,0.5,6,5
"57","1",0,0,0,"999110f",1,40,"사무/기술직","경기",3,3,NA,0,0,2,0.5,-0.5,0.5,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0,0,6,4
"58","1",0,0,0,"d83ea7c",1,41,"무직","대구",2,2,1,1,0,2,-0.5,0.5,-0.5,-0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,0,-0.5,0,6,4
"59","1",0,0,0,"0239825",0,29,"판매/영업 서비스직","경기",4,4,NA,0,0,5,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0,0.5,0,6,6
"60","1",0,0,0,"9412e1b",1,45,"기능/작업직","경기",2,2,2,0,1,5,-1,1,-1,-1,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-1,1,0.5,1,2,9
"61","1",0,0,0,"4814278",0,48,"사무/기술직","경기",1,1,1,1,0,4,-1,1,-1,-1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-1,1,1,1,6,5
"62","1",0,0,0,"fcc3da2",0,37,"전업주부","전북",2,2,1,1,0,5,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,6,4
"63","1",0,0,0,"9e4a3ef",1,48,"사무/기술직","경기",2,2,1,1,0,4,-0.5,0.5,-0.5,-0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.5,0.5,6,5
"64","1",0,0,0,"1e5659a",1,49,"기타","경기",3,3,1,1,0,3,-0.5,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4,5
"65","1",0,0,0,"2a46d80",1,35,"사무/기술직","경북",3,3,2,0,1,3,-0.5,0,0,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0,0.5,0.5,0.5,6,5
"66","1",0,0,0,"afab3e4",1,35,"경영/관리직","부산",1,1,NA,0,0,2,0.5,0,0.5,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0,0,-0.5,8,8
"67","1",0,0,0,"0af9874",1,33,"자유/전문직","서울",4,4,NA,0,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,8,3
"68","1",0,0,0,"a3950df",1,25,"사무/기술직","서울",2,2,NA,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-1,0.5,0,0,6,3
"69","1",0,0,0,"fec03eb",0,28,"자영업","경기",3,3,1,1,0,4,-0.5,0.5,-1,-1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,-0.5,0,4,9
"70","1",0,0,0,"632ed91",1,28,"자영업","대전",3,3,NA,0,0,3,0,0,-0.5,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0.5,0.5,6,7
"71","1",0,0,0,"c92d82a",0,30,"대학생","경기",3,3,NA,0,0,3,-0.5,0.5,-1,-0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.5,0.5,1,0,3,3
"72","1",0,0,0,"dee0b4d",0,53,"자영업","서울",2,2,1,1,0,4,0.5,0.5,-0.5,-0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,0,1,0.5,4,6
"73","1",0,0,0,"2b87f13",1,55,"전업주부","광주",2,2,1,1,0,2,0.5,-0.5,0.5,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,0.5,1,-0.5,0.5,2,4
"74","1",0,0,0,"9e8482a",0,33,"무직","경기",3,3,1,1,0,3,-1,1,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5,0.5,1,0.5,2,5
"75","1",0,0,0,"80b19f1",0,36,"사무/기술직","울산",4,4,2,0,1,4,-0.5,0.5,-0.5,-0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,-0.5,1,0.5,6,7
"76","1",0,0,0,"a16e299",0,40,"경영/관리직","경기",2,2,2,0,1,5,-1,0.5,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-0.5,0.5,1,1,4,7
"77","1",0,0,0,"4948447",1,24,"대학생","서울",NA,3,1,1,0,4,1,0.5,-1,0,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.5,1,1,5,6
"78","1",0,0,0,"68babfb",1,46,"판매/영업 서비스직","경북",4,4,2,0,1,4,0,-0.5,0,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,0.5,0.5,0.5,6,5
"79","1",0,0,0,"57aa69d",1,40,"사무/기술직","서울",2,2,1,1,0,3,-0.5,0,-0.5,-0.5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,-0.5,0.5,0,6,9
"80","1",0,0,0,"50086f0",0,21,"대학생","서울",4,4,1,1,0,5,-1,1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.5,1,1,1,5,10
